4456,C:\Program Files\Parsec\pservice.exe,-,-,-,-,-,valid,5f7cc414c79ec029accc1974d77ac1121ab065a9,unk,
4476,C:\Program Files\Rivet Networks\SmartByte\SmartByteAnalyticsService.exe,-,-,-,-,-,valid,c42b87f750c75288c68dccfc883e5e6d51ae62a7,unk,
4492,C:\Program Files (x86)\Common Files\Tencent\QQProtect\Bin\QQProtect.exe,-,-,-,-,-,valid,0f7116ec0397552c4a165dd4a9a11aa6c4816a29,unk,
7020,C:\Program Files\Rivet Networks\SmartByte\RAPS.exe,-,-,-,-,-,valid,aae93c1d44456246a16f210bee06c0f17a3d62e0,unk,
11604,C:\Windows\System32\DriverStore\FileRepository\realtekservice.inf_amd64_291337223b900dd5\RtkAudUService64.exe,-,-,-,-,-,valid,ec7ee0a2e89838cbe870df1d85a21b9667dd62f0,unk,
4640,C:\Windows\System32\DriverStore\FileRepository\wavesapo10de.inf_amd64_4dc188860e6d8a75\WavesAudioService.exe,-,-,-,-,-,valid,00b4ed3c40790a4e28f9a07ae25a3ee0b52fe752,unk,
4664,C:\Windows\System32\DriverStore\FileRepository\wavesapo10de.inf_amd64_4dc188860e6d8a75\WavesSysSvc64.exe,-,-,-,-,-,valid,408e3b190a0384aba9699013eb9779b1526025fe,unk,
31016,D:\Program Files\百度网盘\BaiduNetdisk\BaiduNetdiskRender.exe,-,Multi_EICAR_ac8f42d6,-,-,-,valid,4593ed94a751a56cf898a4be1498f984547b415a,unk,
4956,C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe,-,-,-,-,-,valid,,unk,
5100,C:\Windows\System32\DriverStore\FileRepository\lms.inf_amd64_fddb643595e0b8d0\LMS.exe,-,-,-,-,-,valid,3f41264178761709cc6ebca7c466489603015f39,unk,
4740,D:\Program Files (x86)\VMware\VMware Workstation\vmware-authd.exe,-,-,-,-,-,valid,ead18d603940b5498b5bd5911ed468d84eeeaa52,unk,
5352,C:\Windows\System32\DriverStore\FileRepository\dal.inf_amd64_7aa6ca9dbb25bff8\jhi_service.exe,-,-,-,-,-,valid,3d94b1741bad6e6a2b878f162219b340ae649ea4,unk,
7616,C:\Program Files (x86)\Dell Digital Delivery Services\Dell.D3.WinSvc.exe,-,-,-,-,no_full_signed,valid,7caca8bd1a031968c655be936d1399574cb88909,unk,
6520,C:\Windows\system32\wbem\wmiprvse.exe,-,-,-,-,-,valid,3ea7cc066317ac45f963c2227c4c7c50aa16eb7c,unk,
8636,C:\Program Files\SplunkUniversalForwarder\bin\splunk-winevtlog.exe,-,-,-,-,-,valid,,unk,
8440,C:\Windows\System32\DriverStore\FileRepository\u0376209.inf_amd64_b3bdffadea4def3f\B374968\atieclxx.exe,-,-,-,-,-,valid,33eb8d6270bbb0d192e7879fcaff20b53e57996a,unk,
812,C:\Windows\System32\InputMethod\CHS\ChsIME.exe,-,-,-,-,-,valid,4afef38a3e2daf2fef24d3b3f4fcfeaec8dd176a,unk,
8592,C:\Windows\system32\sihost.exe,-,-,-,-,-,valid,5310ba14a05256e4d93e0b04338f53b4e1d680cb,unk,
19004,C:\Program Files (x86)\Resource Hacker\ResourceHacker.exe,-,Multi_EICAR_ac8f42d6,-,-,-,-,,unk,
20284,C:\Windows\System32\RuntimeBroker.exe,-,Multi_EICAR_ac8f42d6,-,-,-,valid,ab8539ef6b2a93ff9589dec4b34a0257b6296c92,unk,
8936,C:\Windows\system32\ctfmon.exe,-,-,-,-,-,valid,abb864e1911c59f785b0e1822701b9a5ab31ba1e,unk,
