C:\Windows\System32\RPCRT4.dll,4bcdd68d8fb219fa52a48c4ff89f0e0d492565a5,valid,unk,
C:\Users\huoji\AppData\Local\JetBrains\Toolbox\apps\Goland\ch-0\223.8836.56\jbr\bin\jimage.dll,410aa0a7182c631a63cf344aa65f1bfa757a0b18,valid,unk,
c:\windows\system32\FLTLIB.DLL,fda7d1317bc84fb6c0b8e229ca0954f643188449,valid,unk,
C:\Windows\system32\efslsaext.dll,e899ff7a07769c75bf9aec8f763e92c84e6e325d,valid,unk,
C:\Windows\SYSTEM32\netjoin.dll,c7f004061f49ae1c5a32e52de09b3360a72d3099,valid,unk,
C:\Windows\SYSTEM32\computenetwork.dll,b0c7d9b45d72d7e162f98a42a4bee3c7712af1b4,valid,unk,
C:\Windows\system32\lsasrv.dll,de711ec4250893a4716d099be0acbffaef094d30,valid,unk,
C:\Windows\system32\rsaenh.dll,822c4fadbe633d524c6921cdf48848227fb60ab5,valid,unk,
C:\Windows\System32\CRYPT32.dll,90a13485a11a86ca3f08fac8841422165fa15836,valid,unk,
C:\Windows\System32\MMDevApi.dll,77d11ab87bd8f4aba309164ca2fe054d510db65c,valid,unk,
C:\Windows\System32\DriverStore\FileRepository\u0376209.inf_amd64_b3bdffadea4def3f\B374968\atidxx64.dll,,valid,unk,
C:\Program Files\rooma\rmroot\program\svc_core.dll,c5fb99df79442ba6e1f7f437bd00fcf967606aff,valid,unk,
c:\windows\system32\CRYPTNET.dll,2760f61791f838b19d00637580fd455d18da84ac,valid,unk,
C:\Users\huoji\AppData\Local\Microsoft\OneDrive\23.061.0319.0001\Qt5Quick.dll,3da067088524053f60d1659541e8c63ad08ee248,valid,unk,
C:\Program Files\WinRAR\rarext.dll,6cbf2a2d2d9932b302d4776626e21ac652c1ce2e,invalid,unk,
C:\Windows\system32\SspiCli.dll,e7ee03a4c148f0a7fa240df6bf8cfe22a2022ff5,valid,unk,
C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.19041.1110_none_60b5254171f9507e\Comctl32.dll,625c424e6104f4ea83fb797e37748e02bb7da05a,valid,unk,
C:\Windows\system32\MLANG.dll,7f0baf160d4678b4fad30ebbc2a8d5f3817fc2fe,valid,unk,
C:\Windows\SYSTEM32\fwpuclnt.dll,011e515168ff0923a0a08ed13c5813d281415471,valid,unk,
C:\Windows\SYSTEM32\icuuc.dll,ccc3219ec73f6f63a73167f237b21ce6deb2bc7b,valid,unk,
C:\Windows\System32\sechost.dll,d7ff730587c282ca0ada6d9e736f9e131d95cbf9,valid,unk,
C:\Windows\system32\HID.DLL,930fd2d478f5fda8f6439b90199f1c66876cf7c9,valid,unk,
C:\Windows\SYSTEM32\CRYPTBASE.dll,9356bb02fc42e850639f001a104717233b441ddf,valid,unk,
C:\Windows\SYSTEM32\DEVRTL.dll,a2abe635aa5710c012cb60fe8688a66d3818e5dd,valid,unk,
C:\Windows\system32\KDCPW.DLL,17dad4e2f8d90f114d008d3faa9667a313048469,valid,unk,
c:\windows\system32\dsreg.dll,25ae08d1ba263dc838032e0167c90a2fb99dec67,valid,unk,
c:\windows\system32\CRYPTBASE.dll,9356bb02fc42e850639f001a104717233b441ddf,valid,unk,
c:\windows\system32\iphlpsvc.dll,3e07d4fe270b03257782ef446ef348ab41b3c1ff,valid,unk,
C:\Windows\system32\mswsock.dll,cbd9fd0961f47398df85ae5d89d895c3737106db,valid,unk,
C:\Windows\System32\srumapi.dll,bcb17f260703fe80edeb0cd9705ea4840134cbe1,valid,unk,
